0.0	-0.02	-0.31	-0.26	-0.06	-0.03	-0.21	-0.3	0.18	-0.15	0.18	0.18	-0.47	-0.1	0.06	0.14	-0.07	-0.19	-0.25	
-0.02	0.0	-0.08	-0.01	0.04	-0.01	-0.15	-0.14	0.13	-0.09	0.16	0.16	-0.18	-0.04	0.05	0.15	0.05	-0.12	-0.17	
-0.31	-0.08	0.0	-0.34	-0.09	-0.07	-0.26	-0.32	0.2	-0.17	0.21	0.21	-0.56	-0.09	0.08	0.15	-0.1	-0.23	-0.27	
-0.26	-0.01	-0.34	0.0	-0.09	-0.05	-0.29	-0.33	0.27	-0.14	0.25	0.21	-0.41	-0.06	0.06	0.17	-0.01	-0.29	-0.31	
-0.06	0.04	-0.09	-0.09	0.0	0.0	-0.12	-0.15	0.17	-0.1	0.16	0.14	-0.24	-0.05	0.05	0.13	0.03	-0.11	-0.14	
-0.03	-0.01	-0.07	-0.05	0.0	0.0	-0.1	-0.13	-0.74	-0.34	-0.02	-0.11	-0.62	-0.27	-0.13	-0.07	0.08	-0.14	-0.11	
-0.21	-0.15	-0.26	-0.29	-0.12	-0.1	0.0	-0.26	0.43	0.08	0.72	0.24	-0.23	0.06	-0.05	0.39	-0.06	0.02	-0.53	
-0.3	-0.14	-0.32	-0.33	-0.15	-0.13	-0.26	0.0	0.38	0.03	0.19	0.1	-0.46	-0.14	0.09	0.24	-0.25	-0.36	-0.07	
0.18	0.13	0.2	0.27	0.17	-0.74	0.43	0.38	0.0	-0.13	0.24	0.37	0.89	0.11	0.23	0.42	0.13	0.86	-0.49	
-0.15	-0.09	-0.17	-0.14	-0.1	-0.34	0.08	0.03	-0.13	0.0	-0.16	0.07	-0.26	0.02	-0.04	0.01	-0.15	0.22	-0.23	
0.18	0.16	0.21	0.25	0.16	-0.02	0.72	0.19	0.24	-0.16	0.0	0.21	0.7	0.18	0.34	0.44	0.44	0.89	-0.17	
0.18	0.16	0.21	0.21	0.14	-0.11	0.24	0.1	0.37	0.07	0.21	0.0	0.24	0.17	0.2	0.22	0.21	0.3	-0.09	
-0.47	-0.18	-0.56	-0.41	-0.24	-0.62	-0.23	-0.46	0.89	-0.26	0.7	0.24	0.0	0.07	0.35	0.48	-0.15	0.1	-0.92	
-0.1	-0.04	-0.09	-0.06	-0.05	-0.27	0.06	-0.14	0.11	0.02	0.18	0.17	0.07	0.0	0.09	0.2	-0.03	0.23	-0.45	
0.06	0.05	0.08	0.06	0.05	-0.13	-0.05	0.09	0.23	-0.04	0.34	0.2	0.35	0.09	0.0	0.3	0.11	0.08	-0.03	
0.14	0.15	0.15	0.17	0.13	-0.07	0.39	0.24	0.42	0.01	0.44	0.22	0.48	0.2	0.3	0.0	0.23	0.46	0.11	
-0.07	0.05	-0.1	-0.01	0.03	0.08	-0.06	-0.25	0.13	-0.15	0.44	0.21	-0.15	-0.03	0.11	0.23	0.0	-0.05	-0.2	
-0.19	-0.12	-0.23	-0.29	-0.11	-0.14	0.02	-0.36	0.86	0.22	0.89	0.3	0.1	0.23	0.08	0.46	-0.05	0.0	-0.54	
-0.25	-0.17	-0.27	-0.31	-0.14	-0.11	-0.53	-0.07	-0.49	-0.23	-0.17	-0.09	-0.92	-0.45	-0.03	0.11	-0.2	-0.54	0.0	
